Accident Index,Timestamp,severity,Casualties,Number of Casualties,Number of Vehicles,url,apiUrl,Latitude,Longitude
201543P119055,"11:46pm, 1st May 2015",fatal,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/201543P119055/,https://api.cyclestreets.net/v2/collisions.location?id=201543P119055,51.780193,-1.240891
201543P007045,"5:09pm, 1st April 2015",serious,Pedestrian,1,2,https://www.cyclestreets.net/collisions/reports/201543P007045/,https://api.cyclestreets.net/v2/collisions.location?id=201543P007045,51.752644,-1.250697
201543P025085,"12:44pm, 1st August 2015",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P025085/,https://api.cyclestreets.net/v2/collisions.location?id=201543P025085,51.784143,-1.288896
201543P042095,"10:22pm, 6th September 2015",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P042095/,https://api.cyclestreets.net/v2/collisions.location?id=201543P042095,51.749162,-1.24202
201543P049125,"5:45pm, 3rd December 2015",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P049125/,https://api.cyclestreets.net/v2/collisions.location?id=201543P049125,51.762984,-1.260712
201543P089095,"3:40pm, 9th September 2015",serious,Cyclist,2,3,https://www.cyclestreets.net/collisions/reports/201543P089095/,https://api.cyclestreets.net/v2/collisions.location?id=201543P089095,51.749634,-1.231553
201543P106075,"11:16am, 12th July 2015",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/201543P106075/,https://api.cyclestreets.net/v2/collisions.location?id=201543P106075,51.752336,-1.248993
201543P111055,"8:44pm, 13th May 2015",serious,Pedestrian,1,2,https://www.cyclestreets.net/collisions/reports/201543P111055/,https://api.cyclestreets.net/v2/collisions.location?id=201543P111055,51.753557,-1.262923
201543P113055,"6:00pm, 13th May 2015",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P113055/,https://api.cyclestreets.net/v2/collisions.location?id=201543P113055,51.746306,-1.236868
201543P116065,"4:20pm, 11th June 2015",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P116065/,https://api.cyclestreets.net/v2/collisions.location?id=201543P116065,51.765567,-1.26109
201543P130045,"6:00pm, 15th April 2015",serious,Pedestrian,1,2,https://www.cyclestreets.net/collisions/reports/201543P130045/,https://api.cyclestreets.net/v2/collisions.location?id=201543P130045,51.764905,-1.264535
201543P146045,"6:52am, 13th April 2015",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P146045/,https://api.cyclestreets.net/v2/collisions.location?id=201543P146045,51.750319,-1.244246
201543P146075,"12:30pm, 9th July 2015",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/201543P146075/,https://api.cyclestreets.net/v2/collisions.location?id=201543P146075,51.754465,-1.248755
201543P151095,"7:11am, 2nd September 2015",serious,Cyclist,1,1,https://www.cyclestreets.net/collisions/reports/201543P151095/,https://api.cyclestreets.net/v2/collisions.location?id=201543P151095,51.740019,-1.21076
201543P185125,"1:25pm, 18th December 2015",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P185125/,https://api.cyclestreets.net/v2/collisions.location?id=201543P185125,51.776089,-1.264339
201543P197115,"1:00pm, 13th November 2015",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P197115/,https://api.cyclestreets.net/v2/collisions.location?id=201543P197115,51.767527,-1.231699
201543P201115,"5:37pm, 18th November 2015",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P201115/,https://api.cyclestreets.net/v2/collisions.location?id=201543P201115,51.734875,-1.232296
201543P207015,"7:24am, 22nd January 2015",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P207015/,https://api.cyclestreets.net/v2/collisions.location?id=201543P207015,51.772658,-1.259192
201543P224045,"7:00am, 16th April 2015",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P224045/,https://api.cyclestreets.net/v2/collisions.location?id=201543P224045,51.737963,-1.234358
201543P245085,"11:56am, 26th August 2015",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P245085/,https://api.cyclestreets.net/v2/collisions.location?id=201543P245085,51.739945,-1.21037
