Accident Index,Timestamp,severity,Casualties,Number of Casualties,Number of Vehicles,url,apiUrl,Latitude,Longitude
201143P262101,"9:10am, 28th October 2011",fatal,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201143P262101/,https://api.cyclestreets.net/v2/collisions.location?id=201143P262101,51.768068,-1.265817
201143P273061,"1:48am, 25th June 2011",fatal,"Pedestrian,Car occupant",3,1,https://www.cyclestreets.net/collisions/reports/201143P273061/,https://api.cyclestreets.net/v2/collisions.location?id=201143P273061,51.728645,-1.259361
201143P003051,"8:00pm, 1st May 2011",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201143P003051/,https://api.cyclestreets.net/v2/collisions.location?id=201143P003051,51.740997,-1.222806
201143P025021,"9:20am, 2nd February 2011",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/201143P025021/,https://api.cyclestreets.net/v2/collisions.location?id=201143P025021,51.751488,-1.260147
201143P031021,"11:00pm, 1st February 2011",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201143P031021/,https://api.cyclestreets.net/v2/collisions.location?id=201143P031021,51.737927,-1.207363
201143P053071,"3:08am, 3rd July 2011",serious,Pedestrian,4,1,https://www.cyclestreets.net/collisions/reports/201143P053071/,https://api.cyclestreets.net/v2/collisions.location?id=201143P053071,51.75332,-1.265477
201143P078071,"4:20pm, 7th July 2011",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201143P078071/,https://api.cyclestreets.net/v2/collisions.location?id=201143P078071,51.756286,-1.223413
201143P079091,"6:05pm, 11th September 2011",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201143P079091/,https://api.cyclestreets.net/v2/collisions.location?id=201143P079091,51.747744,-1.237031
201143P088041,"5:59pm, 11th April 2011",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/201143P088041/,https://api.cyclestreets.net/v2/collisions.location?id=201143P088041,51.765706,-1.23383
201143P098041,"10:50am, 8th April 2011",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201143P098041/,https://api.cyclestreets.net/v2/collisions.location?id=201143P098041,51.759632,-1.268417
201143P106051,"8:40am, 6th May 2011",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201143P106051/,https://api.cyclestreets.net/v2/collisions.location?id=201143P106051,51.750636,-1.2393
201143P108091,"2:50pm, 2nd September 2011",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201143P108091/,https://api.cyclestreets.net/v2/collisions.location?id=201143P108091,51.786347,-1.270015
201143P113111,"9:39am, 10th November 2011",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/201143P113111/,https://api.cyclestreets.net/v2/collisions.location?id=201143P113111,51.752943,-1.277217
201143P126081,"10:02am, 16th August 2011",serious,Cyclist,2,3,https://www.cyclestreets.net/collisions/reports/201143P126081/,https://api.cyclestreets.net/v2/collisions.location?id=201143P126081,51.740466,-1.224119
201143P128061,"12:05pm, 14th June 2011",serious,"Cyclist,Taxi occupant",2,2,https://www.cyclestreets.net/collisions/reports/201143P128061/,https://api.cyclestreets.net/v2/collisions.location?id=201143P128061,51.766897,-1.265546
201143P136021,"5:45pm, 7th February 2011",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201143P136021/,https://api.cyclestreets.net/v2/collisions.location?id=201143P136021,51.748966,-1.204417
201143P140051,"12:45pm, 13th May 2011",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201143P140051/,https://api.cyclestreets.net/v2/collisions.location?id=201143P140051,51.752414,-1.250135
201143P165101,"1:30pm, 18th October 2011",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201143P165101/,https://api.cyclestreets.net/v2/collisions.location?id=201143P165101,51.767672,-1.232058
201143P177121,"4:50pm, 13th December 2011",serious,Pedestrian,1,2,https://www.cyclestreets.net/collisions/reports/201143P177121/,https://api.cyclestreets.net/v2/collisions.location?id=201143P177121,51.781562,-1.266903
201143P179111,"8:30am, 15th November 2011",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201143P179111/,https://api.cyclestreets.net/v2/collisions.location?id=201143P179111,51.745263,-1.20202
201143P197011,"11:42am, 18th January 2011",serious,Pedestrian,1,2,https://www.cyclestreets.net/collisions/reports/201143P197011/,https://api.cyclestreets.net/v2/collisions.location?id=201143P197011,51.743534,-1.239564
201143P199071,"1:55am, 21st July 2011",serious,Cyclist,1,1,https://www.cyclestreets.net/collisions/reports/201143P199071/,https://api.cyclestreets.net/v2/collisions.location?id=201143P199071,51.753115,-1.233464
201143P211091,"4:30pm, 19th September 2011",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/201143P211091/,https://api.cyclestreets.net/v2/collisions.location?id=201143P211091,51.752028,-1.260138
201143P214081,"12:48am, 8th August 2011",serious,Pedestrian,2,2,https://www.cyclestreets.net/collisions/reports/201143P214081/,https://api.cyclestreets.net/v2/collisions.location?id=201143P214081,51.788271,-1.275928
201143P222041,"8:55pm, 14th April 2011",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201143P222041/,https://api.cyclestreets.net/v2/collisions.location?id=201143P222041,51.787967,-1.270279
201143P226061,"6:12pm, 25th June 2011",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201143P226061/,https://api.cyclestreets.net/v2/collisions.location?id=201143P226061,51.739035,-1.253109
201143P233111,"12:34pm, 13th November 2011",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201143P233111/,https://api.cyclestreets.net/v2/collisions.location?id=201143P233111,51.748663,-1.240202
201143P242021,"5:07pm, 17th February 2011",serious,Cyclist,1,3,https://www.cyclestreets.net/collisions/reports/201143P242021/,https://api.cyclestreets.net/v2/collisions.location?id=201143P242021,51.749599,-1.23193
201143P255041,"12:55am, 22nd April 2011",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201143P255041/,https://api.cyclestreets.net/v2/collisions.location?id=201143P255041,51.734855,-1.232324
201143P271021,"8:00am, 23rd February 2011",serious,Cyclist,1,3,https://www.cyclestreets.net/collisions/reports/201143P271021/,https://api.cyclestreets.net/v2/collisions.location?id=201143P271021,51.752226,-1.248835
201143P272071,"12:32pm, 23rd July 2011",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/201143P272071/,https://api.cyclestreets.net/v2/collisions.location?id=201143P272071,51.743465,-1.256801
201143P274021,"9:30pm, 26th February 2011",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201143P274021/,https://api.cyclestreets.net/v2/collisions.location?id=201143P274021,51.749,-1.264823
201143P281031,"8:21am, 31st March 2011",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201143P281031/,https://api.cyclestreets.net/v2/collisions.location?id=201143P281031,51.768015,-1.229443
201143P314061,"4:01pm, 29th June 2011",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201143P314061/,https://api.cyclestreets.net/v2/collisions.location?id=201143P314061,51.749125,-1.242078
201143P314091,"8:30am, 30th September 2011",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201143P314091/,https://api.cyclestreets.net/v2/collisions.location?id=201143P314091,51.780065,-1.272001
201143P316071,"6:21pm, 29th July 2011",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201143P316071/,https://api.cyclestreets.net/v2/collisions.location?id=201143P316071,51.733811,-1.210476
201143P317081,"5:00pm, 18th August 2011",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201143P317081/,https://api.cyclestreets.net/v2/collisions.location?id=201143P317081,51.752612,-1.267372
201143P319011,"1:56pm, 24th January 2011",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201143P319011/,https://api.cyclestreets.net/v2/collisions.location?id=201143P319011,51.757082,-1.249044
201143P345041,"4:15pm, 18th April 2011",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/201143P345041/,https://api.cyclestreets.net/v2/collisions.location?id=201143P345041,51.765431,-1.261078
201143P348061,"7:26am, 23rd June 2011",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/201143P348061/,https://api.cyclestreets.net/v2/collisions.location?id=201143P348061,51.752008,-1.257096
201143P006061,"12:30pm, 2nd June 2011",slight,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/201143P006061/,https://api.cyclestreets.net/v2/collisions.location?id=201143P006061,51.751572,-1.259131
201143P008111,"5:05pm, 2nd November 2011",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201143P008111/,https://api.cyclestreets.net/v2/collisions.location?id=201143P008111,51.750036,-1.243946
201143P009021,"6:15pm, 2nd February 2011",slight,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/201143P009021/,https://api.cyclestreets.net/v2/collisions.location?id=201143P009021,51.735816,-1.201028
201143P009071,"8:00am, 1st July 2011",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201143P009071/,https://api.cyclestreets.net/v2/collisions.location?id=201143P009071,51.7674,-1.231628
201143P010051,"9:38am, 4th May 2011",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201143P010051/,https://api.cyclestreets.net/v2/collisions.location?id=201143P010051,51.761827,-1.259978
201143P014031,"7:49pm, 4th March 2011",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201143P014031/,https://api.cyclestreets.net/v2/collisions.location?id=201143P014031,51.747193,-1.235302
201143P014051,"3:14pm, 4th May 2011",slight,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/201143P014051/,https://api.cyclestreets.net/v2/collisions.location?id=201143P014051,51.747377,-1.235878
