Accident Index,Timestamp,severity,Casualties,Number of Casualties,Number of Vehicles,url,apiUrl,Latitude,Longitude
199943P132019,"1:25pm, 12th January 1999",fatal,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/199943P132019/,https://api.cyclestreets.net/v2/collisions.location?id=199943P132019,51.75972,-1.212487
199943P020129,"6:50pm, 2nd December 1999",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/199943P020129/,https://api.cyclestreets.net/v2/collisions.location?id=199943P020129,51.75244,-1.254336
199943P042129,"5:42pm, 3rd December 1999",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/199943P042129/,https://api.cyclestreets.net/v2/collisions.location?id=199943P042129,51.73853,-1.203587
199943P074069,"5:45pm, 4th June 1999",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/199943P074069/,https://api.cyclestreets.net/v2/collisions.location?id=199943P074069,51.760504,-1.235802
199943P109089,"1:54pm, 6th August 1999",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/199943P109089/,https://api.cyclestreets.net/v2/collisions.location?id=199943P109089,51.744993,-1.285745
199943P116029,"10:46pm, 9th February 1999",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/199943P116029/,https://api.cyclestreets.net/v2/collisions.location?id=199943P116029,51.772552,-1.222119
199943P125129,"6:30pm, 9th December 1999",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/199943P125129/,https://api.cyclestreets.net/v2/collisions.location?id=199943P125129,51.7648,-1.260943
199943P145069,"1:25pm, 9th June 1999",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/199943P145069/,https://api.cyclestreets.net/v2/collisions.location?id=199943P145069,51.777503,-1.264939
199943P174049,"9:41am, 14th April 1999",serious,"Cyclist,Bus/coach/minibus occupant",2,4,https://www.cyclestreets.net/collisions/reports/199943P174049/,https://api.cyclestreets.net/v2/collisions.location?id=199943P174049,51.751571,-1.258986
199943P175059,"3:00pm, 14th May 1999",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/199943P175059/,https://api.cyclestreets.net/v2/collisions.location?id=199943P175059,51.760336,-1.210448
199943P196109,"4:13pm, 13th October 1999",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/199943P196109/,https://api.cyclestreets.net/v2/collisions.location?id=199943P196109,51.76192,-1.260411
199943P196129,"6:07pm, 9th December 1999",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/199943P196129/,https://api.cyclestreets.net/v2/collisions.location?id=199943P196129,51.786695,-1.282767
199943P216079,"3:10pm, 16th July 1999",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/199943P216079/,https://api.cyclestreets.net/v2/collisions.location?id=199943P216079,51.726945,-1.218993
199943P218019,"1:30pm, 16th January 1999",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/199943P218019/,https://api.cyclestreets.net/v2/collisions.location?id=199943P218019,51.781645,-1.295169
199943P257019,"3:15pm, 15th January 1999",serious,Pedestrian,1,3,https://www.cyclestreets.net/collisions/reports/199943P257019/,https://api.cyclestreets.net/v2/collisions.location?id=199943P257019,51.747745,-1.237176
199943P264079,"3:48pm, 20th July 1999",serious,"Pedestrian,Bus/coach/minibus occupant",2,2,https://www.cyclestreets.net/collisions/reports/199943P264079/,https://api.cyclestreets.net/v2/collisions.location?id=199943P264079,51.74637,-1.233143
199943P264099,"5:15pm, 17th September 1999",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/199943P264099/,https://api.cyclestreets.net/v2/collisions.location?id=199943P264099,51.754385,-1.263286
199943P276039,"12:00pm, 15th March 1999",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/199943P276039/,https://api.cyclestreets.net/v2/collisions.location?id=199943P276039,51.76192,-1.260411
199943P278089,"12:30pm, 20th August 1999",serious,Pedestrian,1,2,https://www.cyclestreets.net/collisions/reports/199943P278089/,https://api.cyclestreets.net/v2/collisions.location?id=199943P278089,51.738403,-1.252685
199943P302039,"7:08pm, 22nd March 1999",serious,Cyclist,1,3,https://www.cyclestreets.net/collisions/reports/199943P302039/,https://api.cyclestreets.net/v2/collisions.location?id=199943P302039,51.737101,-1.218384
199943P315059,"4:51pm, 21st May 1999",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/199943P315059/,https://api.cyclestreets.net/v2/collisions.location?id=199943P315059,51.738132,-1.252399
199943P315099,"9:07am, 20th September 1999",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/199943P315099/,https://api.cyclestreets.net/v2/collisions.location?id=199943P315099,51.769574,-1.26217
199943P373069,"8:35am, 28th June 1999",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/199943P373069/,https://api.cyclestreets.net/v2/collisions.location?id=199943P373069,51.752771,-1.264037
