Accident Index,Timestamp,severity,Casualties,Number of Casualties,Number of Vehicles,url,apiUrl,Latitude,Longitude
200143P067101,"11:40am, 5th October 2001",fatal,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200143P067101/,https://api.cyclestreets.net/v2/collisions.location?id=200143P067101,51.759808,-1.212196
200143P296091,"2:47am, 27th September 2001",fatal,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200143P296091/,https://api.cyclestreets.net/v2/collisions.location?id=200143P296091,51.74509,-1.229978
200143P069111,"5:24pm, 6th November 2001",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200143P069111/,https://api.cyclestreets.net/v2/collisions.location?id=200143P069111,51.744275,-1.229123
200143P130041,"10:50am, 10th April 2001",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200143P130041/,https://api.cyclestreets.net/v2/collisions.location?id=200143P130041,51.750375,-1.240753
200143P143011,"5:15pm, 12th January 2001",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200143P143011/,https://api.cyclestreets.net/v2/collisions.location?id=200143P143011,51.76775,-1.230172
200143P171101,"12:45pm, 5th October 2001",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200143P171101/,https://api.cyclestreets.net/v2/collisions.location?id=200143P171101,51.75514,-1.254726
200143P181081,"4:15pm, 15th August 2001",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200143P181081/,https://api.cyclestreets.net/v2/collisions.location?id=200143P181081,51.731996,-1.221368
200143P188021,"2:18pm, 11th February 2001",serious,Pedestrian,2,2,https://www.cyclestreets.net/collisions/reports/200143P188021/,https://api.cyclestreets.net/v2/collisions.location?id=200143P188021,51.753647,-1.260256
200143P193031,"9:18am, 14th March 2001",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200143P193031/,https://api.cyclestreets.net/v2/collisions.location?id=200143P193031,51.764889,-1.260797
200143P199051,"12:15am, 13th May 2001",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200143P199051/,https://api.cyclestreets.net/v2/collisions.location?id=200143P199051,51.751493,-1.246819
200143P208011,"6:12am, 16th January 2001",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200143P208011/,https://api.cyclestreets.net/v2/collisions.location?id=200143P208011,51.737591,-1.197666
200143P233091,"3:20pm, 22nd September 2001",serious,Cyclist,1,3,https://www.cyclestreets.net/collisions/reports/200143P233091/,https://api.cyclestreets.net/v2/collisions.location?id=200143P233091,51.752599,-1.251002
200143P240091,"5:00pm, 21st September 2001",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200143P240091/,https://api.cyclestreets.net/v2/collisions.location?id=200143P240091,51.733721,-1.210333
200143P250101,"8:40am, 15th October 2001",serious,Cyclist,2,3,https://www.cyclestreets.net/collisions/reports/200143P250101/,https://api.cyclestreets.net/v2/collisions.location?id=200143P250101,51.777538,-1.270447
200143P264071,"8:35am, 20th July 2001",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200143P264071/,https://api.cyclestreets.net/v2/collisions.location?id=200143P264071,51.784271,-1.268744
200143P310061,"2:35pm, 22nd June 2001",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200143P310061/,https://api.cyclestreets.net/v2/collisions.location?id=200143P310061,51.750511,-1.262046
200143P319051,"9:23am, 24th May 2001",serious,Cyclist,2,2,https://www.cyclestreets.net/collisions/reports/200143P319051/,https://api.cyclestreets.net/v2/collisions.location?id=200143P319051,51.748408,-1.256575
200143P339081,"12:58pm, 24th August 2001",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200143P339081/,https://api.cyclestreets.net/v2/collisions.location?id=200143P339081,51.772997,-1.263273
200143P374011,"11:38pm, 27th January 2001",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200143P374011/,https://api.cyclestreets.net/v2/collisions.location?id=200143P374011,51.75652,-1.25963
200143P383101,"3:52pm, 25th October 2001",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200143P383101/,https://api.cyclestreets.net/v2/collisions.location?id=200143P383101,51.775098,-1.268457
200143P387051,"2:36pm, 25th May 2001",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200143P387051/,https://api.cyclestreets.net/v2/collisions.location?id=200143P387051,51.749583,-1.243374
200143P421111,"10:00pm, 24th November 2001",serious,Cyclist,1,1,https://www.cyclestreets.net/collisions/reports/200143P421111/,https://api.cyclestreets.net/v2/collisions.location?id=200143P421111,51.76431,-1.226608
200143P422051,"6:45pm, 23rd May 2001",serious,Cyclist,1,1,https://www.cyclestreets.net/collisions/reports/200143P422051/,https://api.cyclestreets.net/v2/collisions.location?id=200143P422051,51.753291,-1.232881
200143P454011,"2:42am, 28th January 2001",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200143P454011/,https://api.cyclestreets.net/v2/collisions.location?id=200143P454011,51.749849,-1.256841
200143P477051,"11:35pm, 19th May 2001",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200143P477051/,https://api.cyclestreets.net/v2/collisions.location?id=200143P477051,51.758866,-1.260895
200143P001041,"2:00pm, 1st April 2001",slight,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200143P001041/,https://api.cyclestreets.net/v2/collisions.location?id=200143P001041,51.753063,-1.267509
200143P006071,"3:20pm, 2nd July 2001",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200143P006071/,https://api.cyclestreets.net/v2/collisions.location?id=200143P006071,51.732862,-1.230041
200143P006101,"11:30am, 1st October 2001",slight,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200143P006101/,https://api.cyclestreets.net/v2/collisions.location?id=200143P006101,51.751919,-1.257242
200143P008021,"5:30pm, 1st February 2001",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200143P008021/,https://api.cyclestreets.net/v2/collisions.location?id=200143P008021,51.750895,-1.22394
200143P009111,"7:20pm, 1st November 2001",slight,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200143P009111/,https://api.cyclestreets.net/v2/collisions.location?id=200143P009111,51.746461,-1.233287
200143P016061,"11:15pm, 2nd June 2001",slight,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200143P016061/,https://api.cyclestreets.net/v2/collisions.location?id=200143P016061,51.756521,-1.259774
200143P018031,"10:00pm, 3rd March 2001",slight,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200143P018031/,https://api.cyclestreets.net/v2/collisions.location?id=200143P018031,51.753476,-1.261708
200143P019111,"10:27am, 1st November 2001",slight,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200143P019111/,https://api.cyclestreets.net/v2/collisions.location?id=200143P019111,51.759808,-1.212196
200143P029071,"4:45pm, 3rd July 2001",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200143P029071/,https://api.cyclestreets.net/v2/collisions.location?id=200143P029071,51.734766,-1.232471
200143P029101,"3:40pm, 2nd October 2001",slight,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200143P029101/,https://api.cyclestreets.net/v2/collisions.location?id=200143P029101,51.753734,-1.25982
200143P031031,"5:30pm, 5th March 2001",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200143P031031/,https://api.cyclestreets.net/v2/collisions.location?id=200143P031031,51.766376,-1.24005
200143P033041,"6:05pm, 3rd April 2001",slight,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200143P033041/,https://api.cyclestreets.net/v2/collisions.location?id=200143P033041,51.74274,-1.255944
200143P035021,"4:50pm, 2nd February 2001",slight,Pedestrian,1,2,https://www.cyclestreets.net/collisions/reports/200143P035021/,https://api.cyclestreets.net/v2/collisions.location?id=200143P035021,51.788501,-1.284043
200143P037031,"7:45am, 5th March 2001",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200143P037031/,https://api.cyclestreets.net/v2/collisions.location?id=200143P037031,51.767216,-1.231051
200143P038051,"7:20pm, 4th May 2001",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200143P038051/,https://api.cyclestreets.net/v2/collisions.location?id=200143P038051,51.736371,-1.203335
200143P038121,"12:32pm, 1st December 2001",slight,Pedestrian,1,2,https://www.cyclestreets.net/collisions/reports/200143P038121/,https://api.cyclestreets.net/v2/collisions.location?id=200143P038121,51.750122,-1.243365
200143P041121,"2:44pm, 1st December 2001",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200143P041121/,https://api.cyclestreets.net/v2/collisions.location?id=200143P041121,51.761865,-1.224042
200143P051101,"11:55am, 4th October 2001",slight,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200143P051101/,https://api.cyclestreets.net/v2/collisions.location?id=200143P051101,51.750315,-1.259441
200143P053121,"7:15am, 4th December 2001",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200143P053121/,https://api.cyclestreets.net/v2/collisions.location?id=200143P053121,51.766897,-1.265546
200143P054051,"4:50pm, 2nd May 2001",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200143P054051/,https://api.cyclestreets.net/v2/collisions.location?id=200143P054051,51.750121,-1.243075
200143P055091,"7:15pm, 5th September 2001",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200143P055091/,https://api.cyclestreets.net/v2/collisions.location?id=200143P055091,51.751659,-1.258695
200143P057091,"3:43pm, 6th September 2001",slight,Pedestrian,1,2,https://www.cyclestreets.net/collisions/reports/200143P057091/,https://api.cyclestreets.net/v2/collisions.location?id=200143P057091,51.729504,-1.22532
200143P058031,"8:05am, 7th March 2001",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200143P058031/,https://api.cyclestreets.net/v2/collisions.location?id=200143P058031,51.749949,-1.244382
200143P059021,"2:30pm, 6th February 2001",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200143P059021/,https://api.cyclestreets.net/v2/collisions.location?id=200143P059021,51.740276,-1.236288
200143P066041,"6:10pm, 5th April 2001",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200143P066041/,https://api.cyclestreets.net/v2/collisions.location?id=200143P066041,51.76075,-1.260285
200143P066061,"6:30pm, 5th June 2001",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200143P066061/,https://api.cyclestreets.net/v2/collisions.location?id=200143P066061,51.741372,-1.225117
200143P068081,"8:35am, 6th August 2001",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200143P068081/,https://api.cyclestreets.net/v2/collisions.location?id=200143P068081,51.767401,-1.231772
200143P071051,"8:15am, 4th May 2001",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200143P071051/,https://api.cyclestreets.net/v2/collisions.location?id=200143P071051,51.784271,-1.268744
200143P073101,"5:10pm, 4th October 2001",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200143P073101/,https://api.cyclestreets.net/v2/collisions.location?id=200143P073101,51.745534,-1.229102
200143P073121,"8:51am, 3rd December 2001",slight,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200143P073121/,https://api.cyclestreets.net/v2/collisions.location?id=200143P073121,51.785679,-1.278434
200143P079031,"3:20pm, 6th March 2001",slight,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200143P079031/,https://api.cyclestreets.net/v2/collisions.location?id=200143P079031,51.734851,-1.2316
200143P088021,"3:30pm, 8th February 2001",slight,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200143P088021/,https://api.cyclestreets.net/v2/collisions.location?id=200143P088021,51.742743,-1.22857
200143P091121,"3:38pm, 6th December 2001",slight,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200143P091121/,https://api.cyclestreets.net/v2/collisions.location?id=200143P091121,51.756285,-1.223268
200143P092031,"12:25pm, 9th March 2001",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200143P092031/,https://api.cyclestreets.net/v2/collisions.location?id=200143P092031,51.762423,-1.199979
200143P095021,"10:15am, 1st February 2001",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200143P095021/,https://api.cyclestreets.net/v2/collisions.location?id=200143P095021,51.75262,-1.26853
200143P098051,"5:00pm, 8th May 2001",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200143P098051/,https://api.cyclestreets.net/v2/collisions.location?id=200143P098051,51.750695,-1.262767
200143P100021,"7:09pm, 8th February 2001",slight,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200143P100021/,https://api.cyclestreets.net/v2/collisions.location?id=200143P100021,51.762081,-1.202593
200143P102031,"6:00pm, 10th March 2001",slight,Pedestrian,1,2,https://www.cyclestreets.net/collisions/reports/200143P102031/,https://api.cyclestreets.net/v2/collisions.location?id=200143P102031,51.741677,-1.203531
200143P102041,"8:34am, 6th April 2001",slight,Pedestrian,1,2,https://www.cyclestreets.net/collisions/reports/200143P102041/,https://api.cyclestreets.net/v2/collisions.location?id=200143P102041,51.754654,-1.263137
200143P103111,"10:30pm, 7th November 2001",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200143P103111/,https://api.cyclestreets.net/v2/collisions.location?id=200143P103111,51.749768,-1.24424
