geo_code,geo_label,geo_labelw,label,name,x,y
E05005698,Cherry Willingham,,E92000001E05005698,Cherry Willingham,503608.869107471,373519.137940789
E05007661,Roffey North,,E92000001E05007661,Roffey North,519156.681314746,132370.101379235
E05000418,Clapham Common,,E92000001E05000418,Clapham Common,529347.225882717,174674.722012379
95GG40,Shankill,,N9200000295GG40   ,Shankill,145216.739572427,530354.839618139
E05008282,St Austell Bethel,,E92000001E05008282,St Austell Bethel,203464.524165765,53148.2497319754
W05000355,Yscir,Ysgir,W92000004W05000355,Yscir,297676.670333437,235961.917250488
E05001655,Norbreck,,E92000001E05001655,Norbreck,331565.013616844,441168.079968105
W05000877,Riverside,Glanyrafon,W92000004W05000877,Riverside,316902.865894511,177095.901823933
E05001999,St George West,,E92000001E05001999,St George West,362523.055162295,173682.262439876
E05003331,Linacre,,E92000001E05003331,Linacre,435602.889153543,372608.878441249
E05006922,Burton,,E92000001E05006922,Burton,425752.932408443,324278.493340786
E05008071,Prudhoe East,,E92000001E05008071,Prudhoe East,410168.112738881,562070.234654575
E05005177,Coppull,,E92000001E05005177,Coppull,357167.815901184,413750.747713012
E05003207,Appleby (Bongate),,E92000001E05003207,Appleby (Bongate),368786.552496668,520626.675908971
E05000261,Ravenscourt Park,,E92000001E05000261,Ravenscourt Park,522224.702240155,178894.947618474
E05006362,Hucknall Central,,E92000001E05006362,Hucknall Central,453050.101092608,348757.177226364
E05001293,Meriden,,E92000001E05001293,Meriden,424354.923272595,278782.59724973
S13002768,Kelso and District,,S92000003S13002768,Kelso and District,377187.652291484,627500.395326822
95II21,Tullycarnet,,N9200000295II21   ,Tullycarnet,152611.771669977,528146.06062192
E05006413,Eastwood North and Greasley (Beauvale),,E92000001E05006413,Eastwood North and Greasley (Beauvale),447494.472512566,348605.565083622
E05001486,Brookfield,,E92000001E05001486,Brookfield,447473.30514821,515744.824518704
S13002592,Meadows / Morningside,,S92000003S13002592,Meadows / Morningside,324459.246632211,671250.747931786
W05000119,Conwy,Conwy,W92000004W05000119,Conwy,276913.806775087,377930.288849407
E05007886,Nunnery,,E92000001E05007886,Nunnery,386930.745942916,254520.287693152
E05003520,Lawrence,,E92000001E05003520,Lawrence,282750.817089488,100506.50067576
E05001195,Lozells and East Handsworth,,E92000001E05001195,Lozells and East Handsworth,405695.671036246,289951.055288078
E05001540,Mandale and Victoria,,E92000001E05001540,Mandale and Victoria,445834.19001709,517991.607067904
E05004786,Batchwood,,E92000001E05004786,Batchwood,514335.238007245,208574.344384178
E05008154,Clee,,E92000001E05008154,Clee,357630.974545015,274102.839117607
E05004249,Peter Bruff,,E92000001E05004249,Peter Bruff,616503.275864079,216013.642980207
E05001252,Pedmore and Stourbridge East,,E92000001E05001252,Pedmore and Stourbridge East,391339.922368797,282633.814699136
E05006550,Cowley Marsh,,E92000001E05006550,Cowley Marsh,454187.664616954,205036.102038184
E05003251,Kendal Highgate,,E92000001E05003251,Kendal Highgate,350856.22440255,492086.730946311
W05000308,Llanbadarn Fawr,Llanbadarn Fawr,W92000004W05000308,Llanbadarn Fawr,311562.850931021,263260.301121461
E05005927,Central,,E92000001E05005927,Central,488374.382740667,288729.779900201
E05005381,Newburgh,,E92000001E05005381,Newburgh,346558.809647246,410498.130682805
E05002209,Stopsley,,E92000001E05002209,Stopsley,510551.527810284,224232.470563007
E05000172,Dormers Wells,,E92000001E05000172,Dormers Wells,513783.34296677,180931.705038307
E05006835,Hamdon,,E92000001E05006835,Hamdon,347382.801746101,116709.078836802
E05002643,Great Missenden,,E92000001E05002643,Great Missenden,489286.442663011,201315.685157971
E05004099,Chelmer Village and Beaulieu Park,,E92000001E05004099,Chelmer Village and Beaulieu Park,573479.740965847,207710.757627419
E05005737,Necton,,E92000001E05005737,Necton,588579.479638705,310187.170938887
E05004593,Fernhill,,E92000001E05004593,Fernhill,424648.963123526,95846.8873640587
